Адрес заведения;Описание заведения;Ccылка на фото
ул. Наличная 24к1;Французский ресторан на Наличной улице. В переводе с английского «settlers» означает «поселенцы», и такое название неслучайно. Локация была выбрана осознанно, в ней поселенцы заметили перспективу высокого гостевого спроса. Свежий взгляд на французскую классику и акцент на блюда Средиземноморского побережья — главные составляющие кухни Settlers, которую поставила консультант и шеф-консультант Екатерина Плотникова (Alma в Москве).Меню стартует с закусок: здесь зеленый салат с грушей и сыром рокфор, а также  тартар из говядины со свежим щавелем и голландским соусом. В ресторане готовят каре ягненка, в пару к которому подают традиционное блюдо прованской кухни из запеченных овощей — ароматный рататуй, и, например, спагетти с белыми грибами и лимоном. Пасту готовят в стиле alla carbonara с грибами вместо панчетты, сыром грюйер и с яичной эмульсией на основе пармезана.С 11:00 до 14:00 основное меню дополняют завтраки. В списке — французская гренка с сезонными ягодами, глазунья с окороком и сыром грюйер и бриошь с лососем, яйцом пашот, шпинатом и голландским соусом.В винной карте ресторана собрали 30 наименований, около половины из которых разливают по бокалам. Кроме них, в барной карте — исчерпывающая подборка крепкого алкоголя, пива и сидра от локальных производств. Коктейли разработал шеф-бармен Егор Щербаков (Simach в Сочи). В Settlers он мешает авторские коктейли и твисты. В числе рекомендаций Егора — Paris Experiment №1 с добавлением ликера на основе бузины и кордиала лемонграсс & базилик.Интерьер Settlers — это отсылка к современному загородному дому на севере Франции. Здесь много пространства и естественного света за счет высоких арочных окон, теплая бежевая палитра и натуральные материалы в отделке: например, лен и дерево. Акцентными деталями стали открытая кухня и контактная барная стойка. Особенность пространства — отдельный зал, который рассчитан на 8 человек.Отражение современной Франции нашлось и в плейлисте — за музыку, вдохновленную французским звучанием отвечает команда онлайн радиостанция French Touch FM.Текст предоставлен заведением
ул. Гороховая 49б;"Guggenheim – коктейльный и музыкальный бар со средиземноморской кухней на территории модного культурного пространства Seno на Гороховой улице. Бар получил имя знаменитой наследницы семьи Гуггенхайм – Пегги, собравшей лучшую коллекцию искусства в первой половине ХХ века, и которой мы обязаны признанию Пикассо и Кандинского в арт-сообществе. Шеф-повар Андрей Антипин разработал меню, подходящее под смешанные напитки. Идеальным фуд-пейрингом для классики станет свекла с муссом из фермерского сыра, печеный камамбер с еловым вареньем, итальянские брускетты с ростбифом, крабом или нетривиальный вариант с селедкой и зеленым яблоком. Основательно поужинать можно пастой, щечками или кальмаром в устричном соусе. Тартар и паштет – явная отсылка к работе и стажировкам шефа во Франции.В коктейльной карте, созданной бывшим бар-менеджером «Компромисса» Глебом Касьяновым, собрали фьюжн из барной американской классики 30-х годов. Глеб — миксолог и неоднократный номинант премий в барной индустрии, специалист по продвижению барных стартапов, который участвовал в запуске более 10 заведений.
В интерьере буйствует зеленый неон, с потолка спускается акцентная золотая люстра на крестообразную стойку с высокой посадкой, а длинная барная – выполнена из аутентичных стеклоблоков. По выходным в баре гремят выступления бэндов, а завтраки подают ежедневно с 12 до 18. 
                     
    Текст предоставлен заведением"
Большой проспект П.С. 27/1;Кальянная с авторскими коктейлями на Большом проспекте Петроградской стороны. Freedыm занимает два небольших зала, которые удобно зонированы для комфортного отдыха нескольких компаний. Каждая из комнат легко вместит до 20 гостей. Внутри есть акцентная стена с рисунками в стиле стрит-арт. Из развлечений — плазменные телевизоры, настольные игры и интересная барная карта. По желанию здесь можно веселиться и после 23:00. В кальянной «Фридым» вы можете попробовать бестабачные паровые коктейли. Всего мы подготовили три предложения: компаниям до трех человек такой заказ обойдется в 1200 рублей, до пяти человек — в 2200 рублей, а если вы пришли к нам с шестью или семью друзьями, то выбранный коктейль будет стоить 3300 рублей. В будние дни до 17:00 у нас действует бизнес-перекур: стоимость любого бестабачного парового коктейля — 900 рублей.  В барной карте представили более 20 вариаций коктейлей: здесь и твисты на классику, и авторские рецепты. Из интересного — микс Asian Smash на джине с сиропом розы на меду, базиликом и яблочной кислотой. Среди классики можно найти варианты вроде Negroni и Bellini. Собрали европейские вина и крепкий алкоголь, например, бренди, ликеры, ром. Еды в меню не много, в основном это стартеры вроде брускетт, или итальянских антипасти. Дополнить все это можно классическим или шоколадным чизкейком на десерт. Ждем вас в уютной кальянной Freedыm в Петроградском районе!Текст предоставлен заведением
пр. Приморский 72;Sky Klauss — застекленная терраса при ресторане «Папаша Клаусс» в ТРК «Питерлэнд». Проект расположился на крыше торгового комплекса рядом с главными прогулочными местами Петербурга — с одной стороны находится Парк 300-летия с песчаным пляжем и видом на «Лахта Центр» и «Зенит Арену», с другой — Финский залив.Меню террасы повторяет меню флагманского «Папаши Клаусса» — огромного ресторана с собственной пивоварней. Сюда с открытой кухни выносят блюда, приготовленные на хоспере или специальном закрытом гриле: франкфуртские, берлинские или бременские колбаски, шашлык, люля и альтернативные стейки. В объемном меню «Скай Клаусс» найдется рецепт для каждого. Картофельные вафли, хот-доги и шаверма, два десятка наименований из мяса или рыбы, вегетарианские блюда и самые известные закуски к пиву – домашние гренки с чесноком, брецели, фиш энд чипс или свиные ребрышки. А на сладкое — сметанник с клубникой и какао. Для маленьких гостей предусмотрено детское меню, для них же в холле ресторана работает детская комната с профессиональным педагогом.Свежесваренное пиво Sky Klauss с собственного производства ресторана предлагают в трех нефильтрованных вариантах: светлое, пшеничное и темное. Все готовят исключительно по классической технологии с использованием открытого брожения. Также в барной карте есть крепкий алкоголь и авторские коктейли, домашние лимонады и травяные чаи.По выходным в «Скай Клаусс» организуют вечеринки и концерты с видом на акваторию.Текст предоставлен заведением
Загородный пр. 15;Грузинское кафе на Загородном проспекте. Оживленная локация располагает к грузинскому застолью с оглядкой на современность: рядом находятся популярные Пять углов и Рубинштейна. На кухне готовят с десяток вариантов хачапури и хинкали в сопровождении домашних вин. Меню для Cafe People составил шеф-повар Эмиль Ковтун, известный по работе в ресторанах «Баку», «Альта мареа» и еще десятка популярных заведений Петербурга. Для лаконичной подборки Эмиль выбрал традиционные закуски вроде лобио и грузинских сыров, а на горячее — четыре варианта мяса и сочный люля-кебаб. Раз в месяц мы обновляем спешл-меню с европейскими блюдами от шефа. Специальный раздел посвятили абсолютным фаворитам грузинской кухни — пышным хачапури и ароматным хинкали от 55 рублей. Для начинки хинкали используем баранину, сыр и грибы, а хачапури подаем в 9 вариантах, среди которых фирменная версия а-ля бургер: с куриной котлетой, томатом и сыром внутри.  По утрам с 11:00 сервируем завтраки. Национальные рецепты Грузии здесь представили в новой интерпретации: например, делаем хинкали с творогом и вишней. Меню обедов от 297 рублей действует по будням: по демократичным ценам можно попробовать 2-3 блюда из основного меню, среди которых салаты, супы и горячее. Барную карту Cafe People посвятили Грузии: наливаем фруктовые вина из граната, ежевики и вишни. У нас можно попробовать фирменные крепкие настойки, в основе которых — ягоды, лимон и малина. Еще наливаем чачу и грузинский коньяк. При заведении есть и лавка с грузинскими продуктами: здесь можно купить свежие овощи и фрукты, грузинские сыры, например, чечил и сулугуни. Пространство получилось ярким и модным: зал украшают люстры из бахромы ручной работы, а на полах раскинулись расписные ковры. Занять места можно у высоких окон с панорамным видом на оживленный проспект.Текст предоставлен заведением
г. Пушкин, Кузьминское ш. 66;"Бар с караоке и танцполом в Пушкине. В живописном пригороде при арт-отеле «Форт колесник» можно заказать насыщенное пиво и интересные коктейли, попробовать пиццу из печи или заказать частную вечеринку с караоке.
В барной карте «Big Гвоздец» наша команда собрала порядка 30 напитков. Здесь наливают крепкий алкоголь вроде виски и джина, а еще радуют подборкой вина: совиньон блан, пино гриджио и насыщенный саперави. Дружелюбные бармены за контактной стойкой с радостью подберут для гостей один из коктейлей и расскажут о его составе. Специальный раздел посвятили пиву: наливаем крафт и светлое пиво из России и Бельгии. На выбор — разливное или бутылочное.
Лаконичное меню бара «Биг Гвоздец» получилось универсальным. На закуску подаем итальянские брускетты и чесночные гренки. Среди горячих блюд особенно гордимся фирменными бургерами и пиццей из печи. Они удивят гостей весом и масштабом: больше 500 грамм. На горячее подаем сочную шаверму и ароматные ребрышки в соусе барбекю. После 22:30 — на выбор хрустящие снэки, о которых подробнее расскажут бармены.
Пространство бара получилось по-настоящему брутальным и ярким. Здесь открыты два просторных зала, в одном из которых расположилась сцена для специальных мероприятий, а во втором — длинная барная стойка. Стены из кирпича дополнили неоновыми фигурами и цветной подсветкой.
Команда бара «Биг Гвоздец» с радостью поможет организовать ваш праздник. Наш бар можно арендовать целиком, веселиться и отмечать после 23:00, а крепкие напитки принести с собой с пробковым сбором. При баре работает собственная отельная парковка, а по запросу можно организовать развлекательную программу.Текст предоставлен заведением"
24 линия В.О. 25;Сетевое кафе Delic’e на 24-ой линии Васильевского острова. У нас работает собственная кондитерская и пекарня, а внутри гостей ждет атмосфера французского кафе. Особая гордость для нас — изысканные блюда на каждый день и нежные десерты. Меню кафе «Деличе» составили из французских и итальянских рецептов в собственной интерпретации. На закуску подаем воздушную пиццу по римскому рецепту с рыбой и мясом, а еще собираем сэндвичи. В нашей подборке — аппетитные стейки и паста, которую мы лепим вручную на кухне. В десертной карте «Деличе» оказалось больше 20 вариантов. В печи делаем пышные и хрустящие круассаны, а на витрины выставляем тонкие эклеры с изящными начинками. Фирменным десертом стал мусс из молочного шоколада и прослойки карамели. Пару к блюдам составляет элегантная винная карта: внутри и классический немецкий рислинг, и премиальная шампань для особых праздников и настроений. Любую бутылку можно попробовать в кафе или забрать с собой по той же стоимости. Попробовать завтраки можно с раннего утра: подаем пышные французские омлеты, наваристые каши с орехами и яйца бенедикт с соусами. Пространство кафе украшает белоснежная плитка и зеленые растения, занять места можно за аккуратными столиками или большим обеденным столом. Центром притяжения стала витрина из дерева и стекла, за которой расположилась выпечка и десерты. Сетевое кафе Delic’e — французское изящество, уточненная кухня и нежные десерты! Текст предоставлен заведением
ул. Адмирала Черокова 18, к.2;1/2 of you — кальянная с полноценным меню на улице Адмирала Черокова. Сеть заведений работает в Петербурге уже более 6 лет, и это первое заведение в «Балтийской жемчужине». У нас играют в настольные игры, отдыхают и общаются друг с другом и наслаждаются огромным выбором блюд и коктейлей. В меню 1/2 of you мы сделали акцент на популярные позиции азиатской кухни. Варим пряный том ям и легкий мисо суп, крутим роллы и спринг-роллы, жарим креветки в кляре темпура, готовим лапшу на воке. В обширном списке блюд не забыли и про хитовые рамены. По части напитков в кальянной 1/2 of you сфокусировались на коктейлях. В лаконичной барной карте можно найти дюжину привычных сочетаний вроде «Маргариты», «Мохито» или «Негрони». Из фирменных миксов рекомендуем попробовать освежающий MattPear, тики-коктейль и классических сауэр PineTiki Sour или бодрящий MJ 2.0 с базиликом и бузиной. Список напитков продолжает разливное и бутылочное пиво: от плотного темного стаута и IPA до яблочного сидра и вишневого крика. К пиву подаем закуски: мясные чипсы, сырные палочки, креветки в соусе том ям и солодовые гренки с сыром. В подборке вин собрали преимущественно итальянские этикетки.Особое внимание в 1/2 of you уделили бестабачным паровым коктейлям: подготовили шесть фирменных сочетаний от 1200 рублей. Завариваем на классических и фруктовых чашах вроде спелого ананаса, добавляем в колбу вино или цитрусовые миксы. В пару наливаем чай: премиальный красный «Да Цзинь Чжэнь» из китайской провинции Юннань, трендовую японскую матчу и тайваньский высокогорный улун «Алишань Габа».Текст предоставлен заведением
Кожевенная линия 34;Takadaya — японский бар в пространстве «Севкабель» на Кожевенной линии. Здесь миксуют авторские коктейли, в том числе на основе японского алкоголя, рассказывают об истории сакэ как традиционного напитка и подают закуски, приготовленные методом ферментации. Бар «Такадая» открыли Кадзу Кидзима, амбасcадор японской кухни, владелец проекта Fukuoni (производство изделий для рамена, удона и гёдза), и Юта Инагаки, победитель международных коктейльных турниров в Гонконге и Великобритании, владелец известного бара Butler в Москве. Гости бара могут познакомиться с культурой сакэ, узнать историю напитка и по-настоящему прочувствовать его вкус. Здесь можно попробовать сразу несколько видов в формате дегустаций и оценить напиток с точки зрения фудпейринга — сочетания с кухней. Основу барной карты бара «Такадая» составили классические и авторские коктейли, в том числе на основе сакэ от бартендера Юта Инагаки. Например, смешивают Sake Martini на основе сакэ, фруктового ликера и джина.В пару к коктейлям команда бара во главе с бренд-шефом готовит блюда, используя нетривиальные методы. Главной фишкой стал национальный продукт кодзи — специальная культура для ферментации. Именно он является основой мисо пасты, соевого соуса и, собственно, самого сакэ. Благодаря кодзи, вкус и аромат блюд становится глубже и насыщеннее. Пространство бара дополнили деталями в японском стиле. Уютный  зал украшают укиё-э — гравюрные оттиски с изображениями японской природы, борцов сумо и гейш. Гости могут приобрести картины из бара для личной коллекции. Текст предоставлен заведением
ул. Воронежская 67;Ресторан русской кухни по историческим рецептам при отеле Happy Inn. В нашем ресторане можно позавтракать, пообщаться с коллегами и друзьями за деловым обедом, заказать блюда  по а-ля карт и провести банкет или корпоративную вечеринку.   В ресторане «Ленинград Парадная Трапеза» готовят и подают блюда, которые любили есть известные жители дореволюционного Петербурга и советского Ленинграда.Любимая еда Михаила Ломоносова — семга соленая, треска жареная, щи наваристые, каши и говядина припускная. Щи «Похмельные» подаем со стопкой водки, а щи «Богатые» — с блинами.Кшесинская любила есть легкие булочки, а диета по сбросу веса легендарной фаворитки Дома Романовых состояла из ананасов и красной икры. Булочки «Кшесинская» вы можете заказать в нашем ресторане.Во время гастролей у Федора Шаляпина возникли проблемы с зубами. Твердая пища в этот период ему была противопоказана. В местном ресторане Imperial он попросил приготовить ему мясное блюдо так, чтобы сберечь зубы. Мясо оказалось сочным и мягким. В дальнейшем Шаляпин заказывал его во время всех гастролей и дал стейку свое имя. В нашем ресторане вы можете заказать стейк «Шаляпин».Фаина Раневская была знатным гурманом. Она не терпела диет, устраивала умопомрачительные застолья, о которых написано во множествах воспоминаний и биографий. Но последние годы жизни Раневская была вегетарианкой. В нашем ресторане можно заказать и съесть картофельную котлету с черносливом «Раневская».Готовим блинчики Арины Родионовны, которые она пекла для Пушкина, знаменитые ленинградские пышки и шоколадную колбасу. Владимир Путин по утрам ест каши, творог и мед. Если есть выбор между мясом и рыбой, предпочтет рыбу, а из мяса любит баранину. К сладкому, в общем, равнодушен, не считая мороженого. Каши, блюда из рыбы и творог всегда есть в нашем меню.Наш ресторан станет идеальной площадкой для проведения праздника. В банкетном зале может комфортно разместиться от 20 до 42 гостей. Вы можете принести напитки с собой с символическим пробковым сбором. Наши кондитеры приготовят свадебный торт, который мы подаем с фейерверком, и испекут каравай для молодоженов. Мы сотрудничаем с декораторами и артистами, которые сделают ваш праздник запоминающимся. При заказе банкетного меню от 100 000 рублей, дарим номер люкс в отеле, а от 80 000 — торт в подарок. Если вы хотите продолжить свой отдых после веселой вечеринки, можно снять номер в гостинице.Текст предоставлен заведением
