Название заведения;Ссылка на заведение;Инофрмация о заведение;Лого заведения
Settlers;https://www.restoclub.ru/spb/place/settlers;Симпатичный французский ресторан на Наличной улице.;https://img.restoclub.ru/uploads/place/3/6/5/6/3656ddb4f71a57a15e728c882af2c038_w364_h240.webp
Guggenheim;https://www.restoclub.ru/spb/place/guggenheim;Музыкально-коктейльный бар со средиземноморской кухней на Гороховой улице;https://img.restoclub.ru/uploads/place/c/5/a/a/c5aa3208a2c3e20fa3fae43da7e9b08e_w364_h240.webp
Freedыm;https://www.restoclub.ru/spb/place/freedym-1;Кальянная на Большом проспекте Петроградской стороны;https://img.restoclub.ru/uploads/place/e/e/0/3/ee0301dac64b10dc836c8e1331240deb_w364_h240.webp
Sky Klauss;https://www.restoclub.ru/spb/place/sky-klauss;Застекленная терраса при ресторане «Папаша Клаусс» в ТРК «Питерлэнд»;https://img.restoclub.ru/uploads/place/f/b/0/c/fb0c212062c0f9a5bda0edfd93e1e915_w364_h240.webp
Cafe People;https://www.restoclub.ru/spb/place/people;Грузинское кафе на Загородном проспекте.;https://img.restoclub.ru/uploads/place/8/2/9/5/8295227634d2ae2ad6b525e7ebd2caac_w364_h240.webp
Big гвоздец;https://www.restoclub.ru/spb/place/big-gvozdec;Бар с танцполом и караоке в городе Пушкин;https://img.restoclub.ru/uploads/place/2/a/f/1/2af15edf43b71f1b1509375554d5f19e_w364_h240.webp
Delic'e;https://www.restoclub.ru/spb/place/delice-3;Сетевое кафе и пекарня на 24-ой линии Васильевского острова;https://img.restoclub.ru/uploads/place/d/f/9/d/df9da6bf6d48d4790a2820d1e00e6a86_w364_h240.webp
1/2 of you;https://www.restoclub.ru/spb/place/1-2-of-you-3;Кальянная с полноценным меню в ЖК «Балтийская жемчужина»;https://img.restoclub.ru/uploads/place/f/e/f/6/fef67098717eec608a275a5829622356_w364_h240.webp
Takadaya;https://www.restoclub.ru/spb/place/takadaya;Бар в «Севкабеле» от амбассадоров японской кухни в России;https://img.restoclub.ru/uploads/place/3/1/9/b/319b1a152232d08a3ef63c0f86c3081f_w364_h240.webp
Ленинград Парадная Трапеза;https://www.restoclub.ru/spb/place/leningrad-paradnaja-trapeza;Ресторан русской кухни по историческим рецептам при отеле Happy Inn;https://img.restoclub.ru/uploads/place/2/2/7/4/2274d31eea6f53d1c73fe526b31c2a45_w364_h240.webp
Bottle Shock;https://www.restoclub.ru/spb/place/bottleshock;Корнер от одноименной винотеки в пространстве «Балаган»;https://img.restoclub.ru/uploads/place/1/d/6/e/1d6e9e4fe199c83f482af55c743ec6c3_w364_h240.webp
Чабрец;https://www.restoclub.ru/spb/place/chabrec-6;Сетевая чайхана от Che Group в «Меге Дыбенко»;https://img.restoclub.ru/uploads/place/c/5/e/7/c5e7c00b1bffff6efd3c2b1fe9dbec3c_w364_h240.webp
Beer House;https://www.restoclub.ru/spb/place/beer-house-25;Пивной ресторан на Невском проспекте;https://img.restoclub.ru/uploads/place/3/0/5/d/305d250d92c8444770f44dbecbf0eef6_w364_h240.webp
L'eclat;https://www.restoclub.ru/spb/place/leclat;Ресторан европейской кухни на улице Пестеля.;https://img.restoclub.ru/uploads/place/6/b/7/9/6b796c57eec1fbaa8fe125072d31607c_w364_h240.webp
El Chapo Grande;https://www.restoclub.ru/spb/place/el-chapo-grande;Необычный мексиканский ресторан с танцами и анимацией.;https://img.restoclub.ru/uploads/place/e/4/7/a/e47a2744d046409697cd8bbc4a22f5c2_w364_h240.webp
Blackwood;https://www.restoclub.ru/spb/place/blackwood-7;Шотландский паб на Невском проспекте.;https://img.restoclub.ru/uploads/place/1/1/5/2/1152f91ece9fa02c4130d3c51e9670b1_w364_h240.webp
Royal Smoke;https://www.restoclub.ru/spb/place/royal-smoke;Сетевая кальянная на проспекте Пятилеток.;https://img.restoclub.ru/uploads/place/1/f/e/4/1fe46078d9bded0cbbf695b3bd94a1fe_w364_h240.webp
Сон;https://www.restoclub.ru/spb/place/son;Авторский ресторан от Алексея Мочнова в Кирпичном переулке, где готовят комфортную еду и проводят вечеринки;https://img.restoclub.ru/uploads/place/9/8/9/1/9891d27335dbc75b45fa54dfb43c12ba_w364_h240.webp
Porto 19;https://www.restoclub.ru/spb/place/porto-19;Рыбный ресторан на Большой Зеленина;https://img.restoclub.ru/uploads/place/0/e/9/1/0e91faaaf8a134b69d16fc71326a4bd6_w364_h240.webp
Crevette;https://www.restoclub.ru/spb/place/crevette;Ресторан с креветками в «Брусницыне».;https://img.restoclub.ru/uploads/place/2/1/e/7/21e79c237a4d510221e32f69a049d5a7_w364_h240.webp
Забыли сахар;https://www.restoclub.ru/spb/place/zabyli-sahar-7;Ресторан от одноименной сети кондитерских на набережной Адмирала Лазарева;https://img.restoclub.ru/uploads/place/9/4/a/d/94adaf24fa57089ded5bde5e26ed04cc_w364_h240.webp
Faces Cafe;https://www.restoclub.ru/spb/place/faces-cafe;Кафе от основателя пекарен «Цех 85» на Морском проспекте;https://img.restoclub.ru/uploads/place/6/5/e/9/65e90e7d511a78f0e7f4c59d4a07bad5_w364_h240.webp
MAD;https://www.restoclub.ru/spb/place/mad-asian-bbq;Ресторан азиатской кухни от известных шеф-поваров на Пионерской улице;https://img.restoclub.ru/uploads/place/5/3/a/5/53a5565ebb8b669ae753ace2a2cdcc22_w364_h240.webp
Пышки вприпрыжку;https://www.restoclub.ru/spb/place/pyshki-vpripryzhku;Пышечная с небанальной концепцией на 1-ой Советской;https://img.restoclub.ru/uploads/place/a/1/7/3/a173053de51ba4c1676e8795515e8f5f_w364_h240.webp
